#time	 xpos	 ypos
0.00441	0.30133	 -0.20344	0.55633	 0.23376	0.57512	 -0.21152	0.16350	 -0.05856	0.28242	 0.63793	
0.00446	0.29275	 -0.20847	0.56156	 0.23527	0.57287	 -0.20271	0.16291	 -0.05607	0.27869	 0.64152	
0.00451	0.29528	 -0.22318	0.57256	 0.25469	0.56314	 -0.20490	0.17939	 -0.02146	0.29078	 0.64566	
0.00457	0.30173	 -0.22102	0.55564	 0.26410	0.57347	 -0.20276	0.18535	 -0.02850	0.25631	 0.64484	
0.00462	0.28483	 -0.21348	0.54324	 0.27861	0.55107	 -0.21492	0.18238	 -0.03679	0.23368	 0.65325	
0.00467	0.32024	 -0.20285	0.53138	 0.26625	0.55303	 -0.21384	0.20073	 -0.02994	0.25080	 0.66854	
0.00472	0.31204	 -0.20067	0.52187	 0.26515	0.51805	 -0.18331	0.18882	 -0.06326	0.26233	 0.68007	
0.00478	0.28694	 -0.21001	0.49562	 0.27036	0.51899	 -0.17704	0.17583	 -0.05229	0.27050	 0.68083	
0.00483	0.29065	 -0.18746	0.49218	 0.26151	0.52226	 -0.19367	0.17242	 -0.05713	0.28066	 0.67724	
0.00488	0.30111	 -0.19680	0.51308	 0.25380	0.53664	 -0.18445	0.15057	 -0.05109	0.27914	 0.67803	
0.00493	0.28283	 -0.22084	0.51598	 0.24396	0.51748	 -0.17190	0.12546	 -0.05816	0.26111	 0.66770	
0.00499	0.30650	 -0.21125	0.54231	 0.24635	0.52979	 -0.18742	0.12207	 -0.04574	0.25265	 0.68804	
